id,name,state,country,lat,lng,tags,moods,groups,best_seasons,ideal_days,base_cost,weather_profile,popularity,rating,description,best_starting_cities,nightlife_score,food_score,adventure_score,nature_score,luxury_score,workcation_score
manali,Manali,Himachal Pradesh,India,33.4798,72.1464,mountains | snow | adventure | cafes,adventurous | relaxing,friends | couple | solo,winter | spring,3 | 4,26513,Cold mountain weather,55,4.7,"Manali is known for mountains, snow, adventure and offers a strong travel experience.",Delhi|Chandigarh,5,6,10,8,6,5
shimla,Shimla,Himachal Pradesh,India,16.7879,81.945,mountains | heritage | photography,relaxing | romantic,friends | couple | solo,autumn | winter,4 | 5,10039,Cool and scenic,51,4.3,"Shimla is known for mountains, heritage, photography and offers a strong travel experience.",Delhi|Chandigarh,4,6,5,8,7,6
spiti,Spiti,Himachal Pradesh,India,9.9864,76.103,mountains | cold desert | roadtrip,adventurous | peaceful,friends | couple | solo,autumn | winter,2 | 3,11461,Cold desert climate,90,4.1,"Spiti is known for mountains, cold desert, roadtrip and offers a strong travel experience.",Delhi|Chandigarh,2,3,10,9,4,3
dharamshala,Dharamshala,Himachal Pradesh,India,12.8526,79.6668,spiritual | mountains | cafes,spiritual | relaxing,friends | couple | solo,summer | monsoon,3 | 4,14332,Cool and scenic,97,4.6,"Dharamshala is known for spiritual, mountains, cafes and offers a strong travel experience.",Delhi|Chandigarh,3,7,5,8,5,8
auli,Auli,Uttarakhand,India,34.7864,71.9867,snow | skiing | mountains,adventurous | luxury,friends | couple | solo,winter | spring,2 | 3,23497,Snowy mountain climate,62,4.3,"Auli is known for snow, skiing, mountains and offers a strong travel experience.",Delhi|Chandigarh,2,5,10,8,8,4
mussoorie,Mussoorie,Uttarakhand,India,17.1309,79.7225,waterfalls | mountains | weekend,relaxing | romantic,friends | couple | solo,autumn | winter,2 | 3,24874,Cool and scenic,98,4.8,"Mussoorie is known for waterfalls, mountains, weekend and offers a strong travel experience.",Delhi|Chandigarh,4,7,6,8,7,7
nainital,Nainital,Uttarakhand,India,29.4489,83.5682,lake | family | photography,relaxing | family,friends | couple | solo,autumn | winter,3 | 4,8888,Pleasant climate,69,4.4,"Nainital is known for lake, family, photography and offers a strong travel experience.",Delhi|Lucknow,3,6,5,8,6,6
tirthan_valley,Tirthan Valley,Himachal Pradesh,India,25.9475,84.8805,peaceful | river | hidden gem,peaceful | nature,friends | couple | solo,summer | monsoon,3 | 4,10702,Fresh riverside climate,88,4.3,"Tirthan Valley is known for peaceful, river, hidden gem and offers a strong travel experience.",Delhi|Chandigarh,2,5,6,10,4,7
jibhi,Jibhi,Himachal Pradesh,India,31.3435,77.2541,waterfalls | forest | cabins,peaceful | relaxing,friends | couple | solo,summer | monsoon,4 | 5,17669,Cool and scenic,55,4.8,"Jibhi is known for waterfalls, forest, cabins and offers a strong travel experience.",Delhi|Chandigarh,2,6,6,10,5,8
leh,Leh,Ladakh,India,19.75,89.1065,bike trip | mountains | lakes,adventurous | photography,friends | couple | solo,autumn | winter,4 | 5,12501,High altitude mountain climate,56,4.5,"Leh is known for bike trip, mountains, lakes and offers a strong travel experience.",Delhi|Chandigarh,3,5,10,9,6,4
